split,series_id,mae,rmse
val,Adenovirus,0.16250008344650269,0.2006864161383738
val,HCOV,0.8049998879432678,0.8867355022175651
val,HMPV,0.5349998474121094,0.7427313630402492
val,PIV,1.5625,1.7756055656156424
val,RSV,0.7499999403953552,0.8026829453377514
val,RV/EV,1.1000008583068848,1.1770310033641709
test,Adenovirus,0.2149999737739563,0.26935107405898623
test,HCOV,0.09750000387430191,0.1116915410660406
test,HMPV,0.14000003039836884,0.1624808038964233
test,PIV,0.9025000333786011,0.9554187691342869
test,RSV,0.3749999850988388,0.4323193101692606
test,RV/EV,2.732499122619629,2.878084592256155
