model;split;horizon_step;mae;rmse
latent_shared_v2;test;1;0.2040999780098597;0.3038353869014825
nbeats;test;1;0.19984550774097434;0.313966367817474
nhits;test;1;0.15976550181706686;0.2019058480847803
latent_shared_v2;test;2;0.14560205737749735;0.1698168653232126
nbeats;test;2;0.2729180206855138;0.3556008210678124
nhits;test;2;0.1358836789925893;0.18031821818146995
latent_shared_v2;test;3;0.19412757456302643;0.23448222857080472
nbeats;test;3;0.1221521000067393;0.17978084187051166
nhits;test;3;0.09082176784674327;0.09984836325152067
latent_shared_v2;test;4;0.3148440917332967;0.38223069004612864
nbeats;test;4;0.3842066029707591;0.6289726213365372
nhits;test;4;0.2827748954296112;0.44515196796688383
latent_shared_v2;val;1;0.2697845697402948;0.3089395162584834
nbeats;val;1;0.20884170134862323;0.2369221482009042
nhits;val;1;0.1306396524111424;0.1606532480786074
latent_shared_v2;val;2;0.18890621264775595;0.2610055389037332
nbeats;val;2;0.14597091078758243;0.16720488805612718
nhits;val;2;0.37169204155604046;0.4300301026456037
latent_shared_v2;val;3;0.23436140020688323;0.30502867182806875
nbeats;val;3;0.3955789009730026;0.5048848866169497
nhits;val;3;0.43986461559931445;0.532238070672148
latent_shared_v2;val;4;0.6619794468084971;11.660.527.125.505.200
nbeats;val;4;0.25789792339007067;0.31296878327171745
nhits;val;4;0.3120056986808775;0.3988734487427662
