model;split;series_id;mae;rmse
last_value_baseline;test;Adenovirus;0.2149999737739563;0.2693510740589862
last_value_baseline;test;HCOV;0.0975000038743019;0.1116915410660406
last_value_baseline;test;HMPV;0.1400000303983688;0.1624808038964233
last_value_baseline;test;PIV;0.9025000333786012;0.9554187691342868
last_value_baseline;test;RSV;0.3749999850988388;0.4323193101692606
last_value_baseline;test;RV/EV;2.732.499.122.619.620;2.878.084.592.256.150
last_value_baseline;val;Adenovirus;0.1625000834465026;0.2006864161383738
last_value_baseline;val;HCOV;0.8049998879432678;0.8867355022175651
last_value_baseline;val;HMPV;0.5349998474121094;0.7427313630402492
last_value_baseline;val;PIV;15.625;17.756.055.656.156.400
last_value_baseline;val;RSV;0.7499999403953552;0.8026829453377514
last_value_baseline;val;RV/EV;11.000.008.583.068.800;11.770.310.033.641.700
latent_shared;test;Adenovirus;0.0556591749191284;0.0716670898568875
latent_shared;test;HCOV;0.0686812177300453;0.0770590491542392
latent_shared;test;HMPV;0.3257726803421974;0.3372065071315713
latent_shared;test;PIV;0.2064297199249267;0.2262825992381009
latent_shared;test;RSV;0.0971805304288864;0.1308720965390058
latent_shared;test;RV/EV;10.934.815.406.799.300;11.960.783.769.248.900
latent_shared;val;Adenovirus;0.1465269923210144;0.1544441895247958
latent_shared;val;HCOV;0.3518507480621338;0.3905751465770585
latent_shared;val;HMPV;0.6693941354751587;0.7402550829198633
latent_shared;val;PIV;0.8972419500350952;10.703.995.938.262.200
latent_shared;val;RSV;0.5966069400310516;0.7272221216033246
latent_shared;val;RV/EV;0.5302996635437012;0.6287043668066504
nbeats;test;Adenovirus;0.1057428121566772;0.1128619270519919
nbeats;test;HCOV;0.033119611442089;0.0437955625752525
nbeats;test;HMPV;0.3031257316470146;0.3221529643396228
nbeats;test;PIV;0.2233436107635498;0.2561785811554986
nbeats;test;RSV;0.0682327151298523;0.0837227539721439
nbeats;test;RV/EV;0.7351188659667969;0.8878943839507794
nbeats;val;Adenovirus;0.2026519179344177;0.2440491926268099
nbeats;val;HCOV;0.232526034116745;0.2500537835405722
nbeats;val;HMPV;0.1811747550964355;0.1946616622931948
nbeats;val;PIV;0.3783494234085083;0.4251531717693502
nbeats;val;RSV;0.1584891080856323;0.2253773482896555
nbeats;val;RV/EV;0.3592429161071777;0.5137036557812823
nhits;test;Adenovirus;0.0905840992927551;0.0980024882376459
nhits;test;HCOV;0.0591763332486152;0.0694524695688792
nhits;test;HMPV;0.095820352435112;0.1077022142822562
nhits;test;PIV;0.2151345014572143;0.2395967833558797
nhits;test;RSV;0.0901109725236892;0.1020687570309773
nhits;test;RV/EV;0.4530425071716308;0.5729427129687907
nhits;val;Adenovirus;0.1360188722610473;0.1628048711563874
nhits;val;HCOV;0.3290527462959289;0.3655043214867267
nhits;val;HMPV;0.0873581171035766;0.1466996619675667
nhits;val;PIV;0.4911220073699951;0.5348040510210935
nhits;val;RSV;0.3195232152938843;0.3226346139614657
nhits;val;RV/EV;0.5182280540466309;0.6387026130311159
